code,name,ticker
7906,ヨネックス(株),7906.T
6754,アンリツ(株),6754.T
6436,アマノ(株),6436.T
8078,阪和興業(株),8078.T
4927,(株)ポーラ・オルビスホールディングス,4927.T
9759,(株)ＮＳＤ,9759.T
8283,(株)ＰＡＬＴＡＣ,8283.T
3048,(株)ビックカメラ,3048.T
4540,(株)ツムラ,4540.T
1417,(株)ミライト・ワン,1417.T
8050,セイコーグループ(株),8050.T
6544,ジャパンエレベーターサービスホールディングス(株),6544.T
6454,マックス(株),6454.T
9507,四国電力(株),9507.T
1961,三機工業(株),1961.T
7762,シチズン時計(株),7762.T
7966,リンテック(株),7966.T
2432,(株)ディー・エヌ・エー,2432.T
2607,不二製油(株),2607.T
3941,レンゴー(株),3941.T
4680,(株)ラウンドワン,4680.T
2531,宝ホールディングス(株),2531.T
4530,久光製薬(株),4530.T
9048,名古屋鉄道(株),9048.T
8524,(株)北洋銀行,8524.T
4922,(株)コーセー,4922.T
5805,ＳＷＣＣ(株),5805.T
4686,(株)ジャストシステム,4686.T
3387,(株)クリエイト・レストランツ・ホールディングス,3387.T
2296,伊藤ハム米久ホールディングス(株),2296.T
6728,(株)アルバック,6728.T
141A,(株)トライアルホールディングス,141A.T
6432,(株)竹内製作所,6432.T
9044,南海電気鉄道(株),9044.T
2264,森永乳業(株),2264.T
3279,アクティビア・プロパティーズ投資法人,3279.T
6324,(株)ハーモニック・ドライブ・システムズ,6324.T
8174,日本瓦斯(株),8174.T
3226,三井不動産アコモデーションファンド投資法人,3226.T
9069,センコーグループホールディングス(株),9069.T
1719,安藤ハザマ,1719.T
8358,スルガ銀行(株),8358.T
4902,コニカミノルタ(株),4902.T
6134,(株)ＦＵＪＩ,6134.T
8129,東邦ホールディングス(株),8129.T
1949,住友電設(株),1949.T
8304,(株)あおぞら銀行,8304.T
1980,ダイダン(株),1980.T
5471,大同特殊鋼(株),5471.T
9418,(株)Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,9418.T
8976,大和証券オフィス投資法人,8976.T
4666,パーク２４(株),4666.T
3549,(株)クスリのアオキホールディングス,3549.T
8410,(株)セブン銀行,8410.T
9045,京阪ホールディングス(株),9045.T
6323,ローツェ(株),6323.T
417A,(株)ブルーゾーンホールディングス,417A.T
4631,ＤＩＣ(株),4631.T
7419,(株)ノジマ,7419.T
9409,(株)テレビ朝日ホールディングス,9409.T
5463,丸一鋼管(株),5463.T
6592,マブチモーター(株),6592.T
6005,三浦工業(株),6005.T
1332,(株)ニッスイ,1332.T
5741,(株)ＵＡＣＪ,5741.T
4202,(株)ダイセル,4202.T
6141,ＤＭＧ森精機(株),6141.T
2206,江崎グリコ(株),2206.T
6674,(株)ジーエス・ユアサ　コーポレーション,6674.T
3397,(株)トリドールホールディングス,3397.T
3923,(株)ラクス,3923.T
3309,積水ハウス・リート投資法人,3309.T
8570,イオンフィナンシャルサービス(株),8570.T
8088,岩谷産業(株),8088.T
9504,中国電力(株),9504.T
6526,(株)ソシオネクスト,6526.T
3249,産業ファンド投資法人,3249.T
4205,日本ゼオン(株),4205.T
3110,日東紡,3110.T
8424,芙蓉総合リース(株),8424.T
8111,(株)ゴールドウイン,8111.T
9336,大栄環境(株),9336.T
3471,三井不動産ロジスティクスパーク投資法人,3471.T
2726,(株)パルグループホールディングス,2726.T
2229,カルビー(株),2229.T
4401,(株)ＡＤＥＫＡ,4401.T
8366,(株)滋賀銀行,8366.T
8425,みずほリース(株),8425.T
1662,石油資源開発(株),1662.T
6770,アルプスアルパイン(株),6770.T
1860,戸田建設(株),1860.T
9605,東映(株),9605.T
4967,小林製薬(株),4967.T
9706,日本空港ビルデング(株),9706.T
8012,長瀬産業(株),8012.T
4516,日本新薬(株),4516.T
9006,京浜急行電鉄(株),9006.T
9449,ＧＭＯインターネットグループ(株),9449.T
5714,ＤＯＷＡホールディングス(株),5714.T
7984,コクヨ(株),7984.T
4681,リゾートトラスト(株),4681.T
3132,マクニカホールディングス(株),3132.T
8955,日本プライムリアルティ投資法人,8955.T
4194,ビジョナル(株),4194.T
1893,五洋建設(株),1893.T
7164,全国保証(株),7164.T
4613,関西ペイント(株),4613.T
8985,ジャパン・ホテル・リート投資法人,8985.T
6976,太陽誘電(株),6976.T
7729,(株)東京精密,7729.T
9072,ニッコンホールディングス(株),9072.T
9076,セイノーホールディングス(株),9076.T
2371,(株)カカクコム,2371.T
3436,(株)ＳＵＭＣＯ,3436.T
5393,ニチアス(株),5393.T
6406,フジテック(株),6406.T
5711,三菱マテリアル(株),5711.T
9987,(株)スズケン,9987.T
6268,ナブテスコ(株),6268.T
9301,三菱倉庫(株),9301.T
5233,太平洋セメント(株),5233.T
7327,(株)第四北越フィナンシャルグループ,7327.T
5832,(株)ちゅうぎんフィナンシャルグループ,5832.T
7240,ＮＯＫ(株),7240.T
2433,(株)博報堂ＤＹホールディングス,2433.T
7189,(株)西日本フィナンシャルホールディングス,7189.T
7180,(株)九州フィナンシャルグループ,7180.T
9533,東邦ガス(株),9533.T
9468,(株)ＫＡＤＯＫＡＷＡ,9468.T
2784,アルフレッサ　ホールディングス(株),2784.T
6923,スタンレー電気(株),6923.T
3116,トヨタ紡織(株),3116.T
6471,日本精工(株),6471.T
4912,ライオン(株),4912.T
9065,山九(株),9065.T
9831,(株)ヤマダホールディングス,9831.T
9008,京王電鉄(株),9008.T
6481,ＴＨＫ(株),6481.T
1963,日揮ホールディングス(株),1963.T
4980,デクセリアルズ(株),4980.T
3405,(株)クラレ,3405.T
4203,住友ベークライト(株),4203.T
2871,(株)ニチレイ,2871.T
3269,アドバンス・レジデンス投資法人,3269.T
7337,(株)ひろぎんホールディングス,7337.T
3350,(株)メタプラネット,3350.T
8418,(株)山口フィナンシャルグループ,8418.T
6753,シャープ(株),6753.T
7988,(株)ニフコ,7988.T
4385,(株)メルカリ,4385.T
4812,(株)電通総研,4812.T
8963,インヴィンシブル投資法人,8963.T
5344,(株)ＭＡＲＵＷＡ,5344.T
4088,エア・ウォーター(株),4088.T
9001,東武鉄道(株),9001.T
6302,住友重機械工業(株),6302.T
9989,(株)サンドラッグ,9989.T
7282,豊田合成(株),7282.T
8233,(株)高島屋,8233.T
1951,エクシオグループ(株),1951.T
3774,(株)インターネットイニシアティブ,3774.T
6965,浜松ホトニクス(株),6965.T
4536,参天製薬(株),4536.T
7564,(株)ワークマン,7564.T
2579,コカ・コーラ　ボトラーズジャパンホールディングス(株),2579.T
5938,(株)ＬＩＸＩＬ,5938.T
9364,(株)上組,9364.T
6460,セガサミーホールディングス(株),6460.T
1959,(株)クラフティア,1959.T
7951,ヤマハ(株),7951.T
4626,太陽ホールディングス(株),4626.T
7211,三菱自動車(株),7211.T
7003,(株)三井Ｅ＆Ｓ,7003.T
5214,日本電気硝子(株),5214.T
2002,(株)日清製粉グループ本社,2002.T
8056,ＢＩＰＲＯＧＹ(株),8056.T
6473,(株)ジェイテクト,6473.T
8377,(株)ほくほくフィナンシャルグループ,8377.T
5631,(株)日本製鋼所,5631.T
9041,近鉄グループホールディングス(株),9041.T
9513,Ｊ－ＰＯＷＥＲ,9513.T
6368,オルガノ(株),6368.T
7731,(株)ニコン,7731.T
9506,東北電力(株),9506.T
5947,リンナイ(株),5947.T
5991,ニッパツ,5991.T
5076,インフロニア・ホールディングス(株),5076.T
4816,東映アニメーション(株),4816.T
8954,オリックス不動産投資法人,8954.T
8341,(株)七十七銀行,8341.T
8960,ユナイテッド・アーバン投資法人,8960.T
1721,コムシスホールディングス(株),1721.T
5901,東洋製罐グループホールディングス(株),5901.T
8252,(株)丸井グループ,8252.T
4182,三菱ガス化学(株),4182.T
3086,Ｊ．フロント　リテイリング(株),3086.T
7459,(株)メディパルホールディングス,7459.T
6806,ヒロセ電機(株),6806.T
4527,ロート製薬(株),4527.T
6113,(株)アマダ,6113.T
9412,(株)スカパーＪＳＡＴホールディングス,9412.T
2809,キユーピー(株),2809.T
9007,小田急電鉄(株),9007.T
9142,九州旅客鉄道(株),9142.T
2501,サッポロホールディングス(株),2501.T
2331,ＡＬＳＯＫ(株),2331.T
1969,高砂熱学工業(株),1969.T
3635,(株)コーエーテクモホールディングス,3635.T
3349,(株)コスモス薬品,3349.T
5110,住友ゴム工業(株),5110.T
8984,大和ハウスリート投資法人,8984.T
4733,(株)オービックビジネスコンサルタント,4733.T
5801,古河電気工業(株),5801.T
6417,(株)ＳＡＮＫＹＯ,6417.T
6856,(株)堀場製作所,6856.T
5444,大和工業(株),5444.T
9009,京成電鉄(株),9009.T
2181,パーソルホールディングス(株),2181.T
4751,(株)サイバーエージェント,4751.T
