code,company_name
1934,(株)ユアテック
8130,(株)サンゲツ
9956,(株)バローホールディングス
7864,(株)フジシールインターナショナル
5482,愛知製鋼(株)
1946,(株)トーエネック
4045,東亞合成(株)
7148,(株)ＦＰＧ
8585,(株)オリエントコーポレーション
7716,(株)ナカニシ
8278,(株)フジ
8566,リコーリース(株)
8698,マネックスグループ(株)
6807,日本航空電子工業(株)
3222,ユナイテッド・スーパーマーケット・ホールディングス(株)
4521,科研製薬(株)
3296,日本リート投資法人
7740,(株)タムロン
2124,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ
9025,鴻池運輸(株)
2602,日清オイリオグループ(株)
9075,福山通運(株)
7220,武蔵精密工業(株)
7458,(株)第一興商
4634,ａｒｔｉｅｎｃｅ(株)
8511,日本証券金融(株)
8803,平和不動産(株)
8616,東海東京フィナンシャル・ホールディングス(株)
2815,アリアケジャパン(株)
4784,ＧＭＯインターネット(株)
5273,三谷セキサン(株)
3097,(株)物語コーポレーション
4478,フリー(株)
1515,日鉄鉱業(株)
2154,(株)オープンアップグループ
8388,(株)阿波銀行
3765,ガンホー・オンライン・エンターテイメント(株)
6278,ユニオンツール(株)
9672,東京都競馬(株)
8609,(株)岡三証券グループ
9715,トランスコスモス(株)
6875,(株)メガチップス
6420,ガリレイ(株)
7105,三菱ロジスネクスト(株)
6670,(株)ＭＣＪ
6651,日東工業(株)
4628,エスケー化研(株)
8923,トーセイ(株)
3468,スターアジア不動産投資法人
9068,丸全昭和運輸(株)
167A,リョーサン菱洋ホールディングス(株)
9601,松竹(株)
6703,ＯＫＩ
3453,ケネディクス商業リート投資法人
3865,北越コーポレーション(株)
7485,岡谷鋼機(株)
8968,福岡リート投資法人
9793,(株)ダイセキ
6750,エレコム(株)
7970,信越ポリマー(株)
7381,(株)ＣＣＩグループ
6055,ジャパンマテリアル(株)
1835,東鉄工業(株)
7004,カナデビア(株)
6588,東芝テック(株)
9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ(株)
7730,マニー(株)
5331,ノリタケ(株)
5423,東京製鐵(株)
4928,(株)ノエビアホールディングス
9974,(株)ベルク
9830,トラスコ中山(株)
4694,(株)ビー・エム・エル
8336,(株)武蔵野銀行
3076,あい　ホールディングス(株)
6516,山洋電気(株)
290A,(株)Ｓｙｎｓｐｅｃｔｉｖｅ
7739,キヤノン電子(株)
7545,(株)西松屋チェーン
1926,ライト工業(株)
8214,(株)ＡＯＫＩホールディングス
3880,大王製紙(株)
9716,(株)乃村工藝社
9119,飯野海運(株)
8276,(株)平和堂
5352,黒崎播磨(株)
5703,日本軽金属ホールディングス(株)
7157,ライフネット生命保険(株)
1952,新日本空調(株)
8975,いちごオフィスリート投資法人
3167,(株)ＴＯＫＡＩホールディングス
3593,(株)ホギメディカル
7630,(株)壱番屋
9722,藤田観光(株)
9960,東テク(株)
9678,(株)カナモト
6966,(株)三井ハイテック
2692,伊藤忠食品(株)
9708,(株)帝国ホテル
6498,(株)キッツ
3002,グンゼ(株)
4776,サイボウズ(株)
8600,トモニホールディングス(株)
6804,ホシデン(株)
2384,ＳＢＳホールディングス(株)
6315,ＴＯＷＡ(株)
3287,星野リゾート・リート投資法人
7734,理研計器(株)
9882,(株)イエローハット
9551,メタウォーター(株)
9110,ＮＳユナイテッド海運(株)
5930,文化シヤッター(株)
4914,高砂香料工業(株)
1720,東急建設(株)
3106,クラボウ
1968,太平電業(株)
2685,(株)アンドエスティＨＤ
7283,愛三工業(株)
3191,(株)ジョイフル本田
9090,ＡＺ－ＣＯＭ丸和ホールディングス(株)
3543,(株)コメダホールディングス
8051,(株)山善
6101,(株)ツガミ
7516,コーナン商事(株)
7552,(株)ハピネット
6395,(株)タダノ
8153,(株)モスフードサービス
7222,日産車体(株)
6523,ＰＨＣホールディングス(株)
6486,イーグル工業(株)
8179,ロイヤルホールディングス(株)
4917,(株)マンダム
9037,(株)ハマキョウレックス
4819,(株)デジタルガレージ
8097,三愛オブリ(株)
3433,トーカロ(株)
2281,プリマハム(株)
5715,古河機械金属(株)
1762,(株)高松コンストラクショングループ
7821,前田工繊(株)
8346,(株)東邦銀行
8958,グローバル・ワン不動産投資法人
7972,(株)イトーキ
7599,(株)ＩＤＯＭ
7172,(株)ジャパンインベストメントアドバイザー
9832,(株)オートバックスセブン
7456,松田産業(株)
8421,信金中央金庫
4975,(株)ＪＣＵ
2160,(株)ジーエヌアイグループ
7595,(株)アルゴグラフィックス
7611,(株)ハイデイ日高
7685,(株)ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
2695,くら寿司(株)
3046,(株)ジンズホールディングス
1965,(株)テクノ菱和
1871,ピーエス・コンストラクション(株)
7224,新明和工業(株)
3201,ニッケ
3863,日本製紙(株)
7976,三菱鉛筆(株)
8360,(株)山梨中央銀行
8595,ジャフコ　グループ(株)
2379,ディップ(株)
215A,(株)タイミー
5911,(株)横河ブリッジホールディングス
9413,(株)テレビ東京ホールディングス
6455,(株)モリタホールディングス
5975,東プレ(株)
6379,レイズネクスト(株)
6332,月島ホールディングス(株)
9699,ニシオホールディングス(株)
7512,イオン北海道(株)
2678,アスクル(株)
3778,さくらインターネット(株)
4592,サンバイオ(株)
4534,持田製薬(株)
7287,日本精機(株)
6250,(株)やまびこ
4432,ウイングアーク１ｓｔ(株)
8219,青山商事(株)
9842,アークランズ(株)
4633,サカタインクス(株)
5232,住友大阪セメント(株)
3341,日本調剤(株)
4099,四国化成ホールディングス(株)
5186,ニッタ(株)
7483,(株)ドウシシャ
2767,円谷フィールズホールディングス(株)
9887,(株)松屋フーズホールディングス
6941,山一電機(株)
1879,新日本建設(株)
7780,(株)メニコン
9039,(株)サカイ引越センター
8871,(株)ゴールドクレスト
5192,三ツ星ベルト(株)
8131,(株)ミツウロコグループホールディングス
6707,サンケン電気(株)
2928,ＲＩＺＡＰグループ(株)
9166,(株)ＧＥＮＤＡ
1723,日本電技(株)
4958,長谷川香料(株)
7279,(株)ハイレックスコーポレーション
7965,象印マホービン(株)
2175,(株)エス・エム・エス
8934,サンフロンティア不動産(株)
9889,ＪＢＣＣホールディングス(株)
3087,(株)ドトール・日レスホールディングス
8977,阪急阪神リート投資法人
4471,三洋化成工業(株)
7226,極東開発工業(株)
8074,ユアサ商事(株)
8198,マックスバリュ東海(株)
9757,(株)船井総研ホールディングス
6810,マクセル(株)
2146,ＵＴグループ(株)
6745,ホーチキ(株)
9347,日本管財ホールディングス(株)
7184,(株)富山第一銀行
6834,(株)精工技研
5449,大阪製鐵(株)
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ(株)
4985,アース製薬(株)
6490,(株)ＰＩＬＬＡＲ
