rank,code,company_name,market_cap,scrape_date
375,7180,(株)九州フィナンシャルグループ,447158,2025-12-07
376,9072,ニッコンホールディングス(株),445209,2025-12-07
377,2784,アルフレッサ　ホールディングス(株),443816,2025-12-07
378,7189,(株)西日本フィナンシャルホールディングス,442101,2025-12-07
379,2433,(株)博報堂ＤＹホールディングス,441955,2025-12-07
380,7282,豊田合成(株),441800,2025-12-07
381,5233,太平洋セメント(株),437191,2025-12-07
382,8985,ジャパン・ホテル・リート投資法人,436813,2025-12-07
383,6770,アルプスアルパイン(株),433584,2025-12-07
384,9301,三菱倉庫(株),432115,2025-12-07
385,7984,コクヨ(株),430562,2025-12-07
386,9076,セイノーホールディングス(株),427065,2025-12-07
387,5832,(株)ちゅうぎんフィナンシャルグループ,426083,2025-12-07
388,9987,(株)スズケン,423766,2025-12-07
389,5711,三菱マテリアル(株),423659,2025-12-07
390,7164,全国保証(株),422735,2025-12-07
391,5393,ニチアス(株),421315,2025-12-07
392,3132,マクニカホールディングス(株),421267,2025-12-07
393,4613,関西ペイント(株),419846,2025-12-07
394,9449,ＧＭＯインターネットグループ(株),419669,2025-12-07
395,4681,リゾートトラスト(株),418565,2025-12-07
396,6526,(株)ソシオネクスト,418255,2025-12-07
397,9605,東映(株),417960,2025-12-07
398,8955,日本プライムリアルティ投資法人,416014,2025-12-07
399,4194,ビジョナル(株),413205,2025-12-07
400,8111,(株)ゴールドウイン,413084,2025-12-07
401,9706,日本空港ビルデング(株),411703,2025-12-07
402,9006,京浜急行電鉄(株),411159,2025-12-07
403,3923,(株)ラクス,408275,2025-12-07
404,4967,小林製薬(株),407967,2025-12-07
405,8012,長瀬産業(株),395010,2025-12-07
406,2726,(株)パルグループホールディングス,389425,2025-12-07
407,6323,ローツェ(株),388080,2025-12-07
408,1860,戸田建設(株),386220,2025-12-07
409,2229,カルビー(株),385785,2025-12-07
410,6141,ＤＭＧ森精機(株),385134,2025-12-07
411,3397,(株)トリドールホールディングス,384482,2025-12-07
412,6674,(株)ジーエス・ユアサ　コーポレーション,382299,2025-12-07
413,6005,三浦工業(株),381887,2025-12-07
414,3471,三井不動産ロジスティクスパーク投資法人,380568,2025-12-07
415,8425,みずほリース(株),379904,2025-12-07
416,8088,岩谷産業(株),379128,2025-12-07
417,9336,大栄環境(株),378594,2025-12-07
418,5714,ＤＯＷＡホールディングス(株),378506,2025-12-07
419,9504,中国電力(株),376624,2025-12-07
420,3549,(株)クスリのアオキホールディングス,375488,2025-12-07
421,8366,(株)滋賀銀行,374285,2025-12-07
422,1332,(株)ニッスイ,373823,2025-12-07
423,4401,(株)ＡＤＥＫＡ,373565,2025-12-07
424,8424,芙蓉総合リース(株),372813,2025-12-07
